"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDist:OrderClass","logDist:Region","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"2942",-1.94038697657009,"+",NA,"+",-0.059487969683675,"+","+","+","+",NA,"+","+",NA,"+",0.256264211042215,27,-841.978462079838,1740.21364057759,11.1429928180451,0.00032761886004719
"301",-2.53290617258158,NA,NA,"+",-0.0996841186756773,"+",NA,"+",NA,NA,"+",NA,NA,NA,0.220684504114941,13,-856.856900920658,1740.24596558401,11.1753178244635,0.000322366280925974
"1600",-2.54181728324288,"+","+","+",-0.0913923258465437,"+","+","+",NA,NA,NA,"+","+",NA,0.253684108516625,26,-843.078980381187,1740.25036016625,11.1797124067057,0.000321658725995917
"336",-3.19340227647626,"+","+","+",-0.0765062621620965,"+",NA,NA,"+",NA,"+",NA,NA,NA,0.23845227306192,20,-849.506195616036,1740.25315932661,11.1825115670645,0.000321208853708087
"671",-3.05705460341099,NA,"+","+",-0.0628102414329235,"+","+",NA,NA,"+",NA,"+",NA,NA,0.240980849909967,21,-848.447399082974,1740.26166207127,11.1910143117314,0.000319846173956115
"1077",-1.55455325790444,NA,NA,"+",-0.140562509254496,NA,"+","+",NA,NA,NA,NA,"+",NA,0.223164819472668,14,-855.84002024428,1740.29497460276,11.2243268432201,0.000314562853426688
"311",-1.45748464288648,NA,"+","+",-0.10307561825076,NA,"+","+",NA,NA,"+",NA,NA,NA,0.228217460255184,16,-853.759325682016,1740.31747662101,11.2468288614643,0.000311043538937362
"943",-3.09911003938537,NA,"+","+",-0.0803604765731696,"+",NA,"+",NA,"+","+","+",NA,NA,0.243416334831115,22,-847.424537154669,1740.3483335686,11.2776858090556,0.000306281442252405
"1920",-2.61229046986504,"+","+","+",-0.0846861548396291,"+","+","+","+",NA,"+","+","+",NA,0.266218651084275,31,-837.69966588223,1740.37831074344,11.3076629838963,0.000301724949082051
"2944",-2.71500120616463,"+","+","+",-0.044236325997363,"+","+","+","+",NA,"+","+",NA,"+",0.263577307142633,30,-838.840138622208,1740.46888294157,11.3982351820259,0.000288365778546215
"54",-1.55776540061187,"+",NA,"+",-0.136139393028824,NA,"+","+",NA,NA,NA,NA,NA,NA,0.22286785544077,14,-855.961925925774,1740.53878596575,11.468138206207,0.000278461059294857
"304",-3.08926466482524,"+","+","+",-0.0978244498780026,"+",NA,"+",NA,NA,"+",NA,NA,NA,0.235508436824192,19,-850.734841414216,1740.59062678123,11.5199790216921,0.000271335976544079
"368",-3.13592465568266,"+","+","+",-0.0730990054392527,"+",NA,"+","+",NA,"+",NA,NA,NA,0.243112713755351,22,-847.552216491405,1740.60369224207,11.5330444825277,0.000269569189013352
"3902",-1.79290587677498,"+",NA,"+",-0.119381251954086,"+","+","+",NA,NA,"+","+","+","+",0.255797086984545,27,-842.177966867959,1740.61265015383,11.5420023942852,0.000268364500397008
"3200",-2.58998331998397,"+","+","+",-0.171635117289491,"+","+","+","+",NA,NA,NA,"+","+",0.258187729762798,28,-841.155739456988,1740.7389826509,11.6683348913552,0.000251937208543991
"608",-3.13935418265698,"+","+","+",-0.0707850007836949,"+","+",NA,"+",NA,NA,"+",NA,NA,0.247993264662937,24,-845.494156627262,1740.77137417577,11.7007264162291,0.00024788975761332
"1918",-1.84645423235638,"+",NA,"+",-0.078060894695768,"+","+","+","+",NA,"+","+","+",NA,0.258136641170473,28,-841.177616032713,1740.78273580235,11.7120880428051,0.000246485534525282
"1983",-2.58738488103958,NA,"+","+",-0.0608075365526972,"+","+","+",NA,"+","+","+","+",NA,0.258092206391355,28,-841.196642273283,1740.82078828349,11.750140523945,0.000241840173460347
"1216",-2.46229596412387,"+","+","+",-0.169152677429284,"+","+","+",NA,"+",NA,NA,"+",NA,0.252987890448567,26,-843.37535200475,1740.84310341337,11.7724556538319,0.000239156823681479
"2101",-1.53015481282496,NA,NA,"+",-0.146035657983624,NA,"+","+",NA,NA,NA,NA,NA,"+",0.219922735417407,13,-857.168617357411,1740.86939845751,11.7987506979689,0.000236033083780587
"3904",-2.55334635312339,"+","+","+",-0.123324859816552,"+","+","+",NA,NA,"+","+","+","+",0.263065703343403,30,-839.060607414962,1740.90982052708,11.8391727675335,0.000231310495866953
"704",-2.61514490000289,"+","+","+",-0.0435737103425799,"+","+","+",NA,"+",NA,"+",NA,NA,0.252809171467387,26,-843.451389938884,1740.99517928164,11.924531522101,0.000221646011988142
"3382",-1.5369959332395,"+",NA,"+",-0.150321171713713,NA,"+","+",NA,NA,"+",NA,"+","+",0.240022383357993,21,-848.849118006568,1741.06509991846,11.9944521589189,0.000214031082593027
"2095",-3.01196926037612,NA,"+","+",-0.142688183432594,"+",NA,"+",NA,NA,NA,NA,NA,"+",0.227307248202905,16,-854.135071304355,1741.06896786569,11.998320106143,0.000213617552134525
"1335",-1.42799454062795,NA,"+","+",-0.132404015643834,NA,"+","+",NA,NA,"+",NA,"+",NA,0.23492959268209,19,-850.975921007533,1741.07278596787,12.002138208326,0.000213210134327898
"1536",-2.59065114987438,"+","+","+",-0.124785455053759,"+","+","+","+","+","+",NA,"+",NA,0.265403776017469,31,-838.051908250828,1741.08279548063,12.0121477210926,0.000212145735297775
"224",-3.15848778397524,"+","+","+",-0.0914435647132312,"+","+",NA,"+","+",NA,NA,NA,NA,0.247562909748059,24,-845.676119947172,1741.13530081559,12.0646530560496,0.000206648813979834
"1888",-3.09691972094377,"+","+","+",-0.0949024625072575,"+","+",NA,"+",NA,"+","+","+",NA,0.260182595124262,29,-840.300446961113,1741.20568434139,12.1350365818464,0.000199502953109201
"143",-3.13640334833492,NA,"+","+",-0.128135818513645,"+",NA,NA,NA,"+",NA,NA,NA,NA,0.224509907178057,15,-855.287319060355,1741.27845043743,12.2078026778829,0.000192374884304835
"2560",-2.65610291435169,"+","+","+",-0.0691870223329745,"+","+","+","+","+","+",NA,NA,"+",0.262523779899823,30,-839.293990252273,1741.3765862017,12.3059384421549,0.000183163300724891
"3645",-1.89960809413079,NA,NA,"+",-0.1112273657299,"+","+","+",NA,NA,NA,"+","+","+",0.242101471838109,22,-847.977129395429,1741.45351805012,12.3828702905757,0.000176251540910379
"118",-1.62584071863366,"+",NA,"+",-0.111313663324433,NA,"+","+","+",NA,NA,NA,NA,NA,0.229371845347683,17,-853.282200103327,1741.46440020665,12.3937524471112,0.000175295146748752
"1398",-1.58458250653208,"+",NA,"+",-0.120982338083999,NA,"+","+","+",NA,"+",NA,"+",NA,0.242076884110861,22,-847.987454452626,1741.47416816451,12.4035204049687,0.00017444109622575
"3520",-2.4956062535576,"+","+","+",-0.18502301524264,"+","+","+",NA,"+","+",NA,"+","+",0.262239172927508,30,-839.416495610462,1741.62159691807,12.5509491585326,0.000162044785451362
"1024",-2.76145946092249,"+","+","+",0.0236422290147688,"+","+","+","+","+","+","+",NA,NA,0.264766758076319,31,-838.327021746139,1741.63302247126,12.5623747117154,0.000161121698998091
"1504",-3.06987580340518,"+","+","+",-0.130207634183727,"+","+",NA,"+","+","+",NA,"+",NA,0.259684383605347,29,-840.514250097722,1741.63329061461,12.5626428550643,0.000161100098590151
"1310",-2.1920772923705,"+",NA,"+",-0.137046237281666,"+","+",NA,NA,NA,"+",NA,"+",NA,0.236710864709778,20,-850.233515976649,1741.70780004783,12.6371522882901,0.000155208781123246
"1951",-3.01142594494035,NA,"+","+",-0.0721516865954198,"+","+",NA,NA,"+","+","+","+",NA,0.251931453489857,26,-843.824584315718,1741.74156803531,12.6709202757688,0.000152610235677142
"1568",-3.05886900388766,"+","+","+",-0.0996220694767478,"+","+",NA,NA,NA,NA,"+","+",NA,0.246834643382951,24,-845.983830686514,1741.75072229428,12.6800745347334,0.00015191331503285
"3647",-2.54831886903157,NA,"+","+",-0.115510714363743,"+","+","+",NA,NA,NA,"+","+","+",0.249363024433288,25,-844.914360363822,1741.76324453717,12.6925967776256,0.000150965138739121
"528",-3.17412102305597,"+","+","+",-0.0734580174474471,"+",NA,NA,NA,NA,NA,"+",NA,NA,0.231467519168724,18,-852.414354557051,1741.83607288435,12.7654251248096,0.000145566753346951
