"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDist:OrderClass","logDist:Region","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"136",-2.23715562795648,"+","+","+",-0.142687758279413,NA,NA,NA,NA,"+",NA,NA,NA,NA,0.20528055720221,15,-863.10672972101,1756.91727175874,27.8466239991942,7.73074716756682e-08
"2408",-2.2431427917908,"+","+","+",-0.0975303575004904,NA,NA,"+","+",NA,"+",NA,NA,"+",0.220385469153964,21,-856.979299492857,1757.32546289104,28.254815131497,6.30353098333147e-08
"2088",-2.17518633725379,"+","+","+",-0.150725782261029,NA,NA,"+",NA,NA,NA,NA,NA,"+",0.207307716781195,16,-862.290619346116,1757.38006394921,28.3094161896649,6.13376909089474e-08
"2471",-2.11513023469802,NA,"+","+",-0.103776069610043,NA,NA,"+",NA,"+","+",NA,NA,"+",0.212079737255924,18,-860.36189288533,1757.73114954091,28.6605017813672,5.1462414103934e-08
"167",-2.06777095766884,NA,"+","+",-0.137586602270987,NA,NA,"+",NA,"+",NA,NA,NA,NA,0.201477340500968,14,-864.632729701963,1757.88039351813,28.8097457585852,4.77619706326362e-08
"488",-2.25700102359848,"+","+","+",-0.0857106979651067,NA,NA,"+","+","+","+",NA,NA,NA,0.221036817349377,22,-856.712639814558,1758.92453888837,29.8538911288324,2.83366790299777e-08
"200",-2.25893726884047,"+","+","+",-0.117851308795243,NA,NA,NA,"+","+",NA,NA,NA,NA,0.210563680851288,18,-860.97579944702,1758.95896266429,29.8883149047488,2.78531246648367e-08
"168",-2.18813977542681,"+","+","+",-0.141925104968593,NA,NA,"+",NA,"+",NA,NA,NA,NA,0.207940909653164,17,-862.035311770243,1758.97062354049,29.8999757809443,2.76912012465848e-08
"2472",-2.23283260354154,"+","+","+",-0.106498023157587,NA,NA,"+",NA,"+","+",NA,NA,"+",0.218349433880089,21,-857.81153379472,1758.98993149477,29.9192837352241,2.74251572802137e-08
"2152",-2.20030937032736,"+","+","+",-0.128329931661632,NA,NA,"+","+",NA,NA,NA,NA,"+",0.212962290828075,19,-860.004016805417,1759.12897756364,30.0583298040938,2.55832465760993e-08
"3320",-1.40881603463906,"+","+","+",-0.18389656044735,NA,"+","+","+","+",NA,NA,"+","+",0.236235955422468,28,-850.431604844399,1759.29071342572,30.2200656661757,2.35958246693792e-08
"1240",-1.77891565684398,"+","+","+",-0.166101146748569,NA,"+",NA,"+","+",NA,NA,"+",NA,0.225310450383261,24,-854.957957118123,1759.69897515749,30.6283273979514,1.92389892428543e-08
"2215",-2.07131177465109,NA,"+","+",-0.139352236334822,NA,NA,"+",NA,"+",NA,NA,NA,"+",0.203542885055211,16,-863.804780022675,1760.40838530233,31.3377375427833,1.3493847452288e-08
"232",-2.21277787627197,"+","+","+",-0.118086763757266,NA,NA,"+","+","+",NA,NA,NA,NA,0.213071743280271,20,-859.959608171873,1761.15998443828,32.0893366787377,9.26676431264944e-09
"2216",-2.18401476060773,"+","+","+",-0.143722224657345,NA,NA,"+",NA,"+",NA,NA,NA,"+",0.209568917838138,19,-861.378029335447,1761.8770026237,32.8063548641549,6.47484828614993e-09
"2536",-2.25067842522269,"+","+","+",-0.0904745607221643,NA,NA,"+","+","+","+",NA,NA,"+",0.222408492257724,24,-856.150413684684,1762.08388829062,33.013240531074,5.83854921063214e-09
"2280",-2.20573262439576,"+","+","+",-0.123456786510734,NA,NA,"+","+","+",NA,NA,NA,"+",0.214469580161703,22,-859.391960080154,1764.28317941957,35.2125316600259,1.9441731648987e-09
"57",-1.66406220573614,NA,NA,NA,-0.128388983859857,"+","+","+",NA,NA,NA,NA,NA,NA,0.173634498322819,12,-875.605661127761,1775.66679670808,46.5961489485346,6.55864097725872e-12
"59",-2.24504478950553,NA,"+",NA,-0.126386545837039,"+","+","+",NA,NA,NA,NA,NA,NA,0.180379073036302,15,-872.979100474915,1776.66201326655,47.5913655070028,3.98754253109264e-12
"58",-1.5790126807564,"+",NA,NA,-0.129142177082567,"+","+","+",NA,NA,NA,NA,NA,NA,0.178501147452893,15,-873.712414789088,1778.12864189489,49.0579941353501,1.9152742425651e-12
"27",-2.75156847007391,NA,"+",NA,-0.125684313918744,"+","+",NA,NA,NA,NA,NA,NA,NA,0.172791597222012,13,-875.932529481219,1778.39722270513,49.3265749455859,1.67459344241168e-12
"569",-1.71508183918114,NA,NA,NA,-0.0802218765296139,"+","+","+",NA,NA,NA,"+",NA,NA,0.177723229710744,15,-874.015734431174,1778.73528117906,49.6646334195214,1.41416772508797e-12
"2105",-1.63725465608473,NA,NA,NA,-0.138307851657861,"+","+","+",NA,NA,NA,NA,NA,"+",0.174939276391285,14,-875.099077146281,1778.81308840676,49.7424406472217,1.36020791134066e-12
"1081",-1.67902083356949,NA,NA,NA,-0.122045738993686,"+","+","+",NA,NA,NA,NA,"+",NA,0.177301551196356,15,-874.180041929812,1779.06389617634,49.9932484167969,1.19989455159475e-12
"60",-2.2708303199363,"+","+",NA,-0.126410399864173,"+","+","+",NA,NA,NA,NA,NA,NA,0.185325313153345,18,-871.040228510517,1779.08782079128,50.0171730317425,1.18562655326682e-12
"1083",-2.3176044881924,NA,"+",NA,-0.122734002531931,"+","+","+",NA,NA,NA,NA,"+",NA,0.184992692944263,18,-871.170950350346,1779.34926447094,50.2786167114009,1.04034202778826e-12
"11",-2.88243951634862,NA,"+",NA,-0.124812665592569,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.163447673096586,10,-879.535646888727,1779.39152667411,50.3208789145647,1.0185890958532e-12
"571",-2.31293792682977,NA,"+",NA,-0.0786498831349631,"+","+","+",NA,NA,NA,"+",NA,NA,0.184777285451535,18,-871.255580738903,1779.51852524806,50.4478774885138,9.55920186255277e-13
"124",-2.36299541934863,"+","+",NA,-0.0997891291846613,"+","+","+","+",NA,NA,NA,NA,NA,0.192321760549809,21,-868.279172465869,1779.92520883706,50.8545610775211,7.80030192978927e-13
"1051",-2.76254330315051,NA,"+",NA,-0.125593511924328,"+","+",NA,NA,NA,NA,NA,"+",NA,0.178798611859427,16,-873.596360068301,1779.99154539358,50.9208976340358,7.54582298871947e-13
"43",-2.82465760762124,NA,"+",NA,-0.123185761193752,"+",NA,"+",NA,NA,NA,NA,NA,NA,0.167817941627211,12,-877.855053885528,1780.16558222361,51.0949344640678,6.91695572443795e-13
"2107",-2.22887501386533,NA,"+",NA,-0.135547793973396,"+","+","+",NA,NA,NA,NA,NA,"+",0.181221720749632,17,-872.649552076162,1780.19910415232,51.1284563927811,6.80198706042289e-13
"122",-1.62785861119983,"+",NA,NA,-0.105293491918248,"+","+","+","+",NA,NA,NA,NA,NA,0.183767743119625,18,-871.651941605475,1780.3112469812,51.2405992216582,6.43108567867737e-13
"539",-2.78439727749232,NA,"+",NA,-0.0798235182093362,"+","+",NA,NA,NA,NA,"+",NA,NA,0.177765293624218,16,-873.999339936958,1780.79750513089,51.7268573713479,5.04306632539583e-13
"570",-1.63046913349161,"+",NA,NA,-0.0797566304857526,"+","+","+",NA,NA,NA,"+",NA,NA,0.182765396065257,18,-872.045032657415,1781.09742908508,52.0267813255386,4.34077245754824e-13
"28",-2.82314899596388,"+","+",NA,-0.125188524485917,"+","+",NA,NA,NA,NA,NA,NA,NA,0.177212547624959,16,-874.214712385096,1781.22825002717,52.1576022676252,4.06592734787914e-13
"187",-2.3008692572379,NA,"+",NA,-0.128931805267612,"+","+","+",NA,"+",NA,NA,NA,NA,0.182592073813917,18,-872.112959673728,1781.23328311771,52.1626353581642,4.05570812161172e-13
"2106",-1.55031955619062,"+",NA,NA,-0.138691105532445,"+","+","+",NA,NA,NA,NA,NA,"+",0.179805486609234,17,-873.203244686117,1781.30648937223,52.2358416126917,3.90994056966819e-13
"1082",-1.57390454904596,"+",NA,NA,-0.131101790529176,"+","+","+",NA,NA,NA,NA,"+",NA,0.182328239758752,18,-872.216333950811,1781.44003167187,52.3693839123307,3.65739455790449e-13
"92",-2.9041963307334,"+","+",NA,-0.0966607031909825,"+","+",NA,"+",NA,NA,NA,NA,NA,0.184941554517278,19,-871.19104373277,1781.50303141834,52.432383658801,3.54398270004504e-13
"523",-2.89751408195462,NA,"+",NA,-0.0810102627651507,"+",NA,NA,NA,NA,NA,"+",NA,NA,0.168402306494473,13,-877.629720883826,1781.79160551034,52.7209577507992,3.06781047018237e-13
"1084",-2.328821157392,"+","+",NA,-0.130399701683824,"+","+","+",NA,NA,NA,NA,"+",NA,0.18993828918594,21,-869.222233371311,1781.81133064795,52.7406828884052,3.03770269240946e-13
"572",-2.3464326302493,"+","+",NA,-0.0779681504538354,"+","+","+",NA,NA,NA,"+",NA,NA,0.189865573794389,21,-869.250964430359,1781.86879276604,52.798145006501,2.95166812726109e-13
"2617",-1.70283834350258,NA,NA,NA,-0.115234700405813,"+","+","+",NA,NA,NA,"+",NA,"+",0.178775576812774,17,-873.605348491637,1782.11069698327,53.0400492237313,2.61540345049516e-13
"49",-1.28853959473386,NA,NA,NA,-0.128438172836627,NA,"+","+",NA,NA,NA,NA,NA,NA,0.157186379765538,9,-881.929419990525,1782.12046788803,53.0498201284838,2.60265718248771e-13
"155",-2.78696294639244,NA,"+",NA,-0.127190573110279,"+","+",NA,NA,"+",NA,NA,NA,NA,0.175873450515634,16,-874.735929024038,1782.27068330505,53.2000355455082,2.4143381894199e-13
"3129",-1.64907358674867,NA,NA,NA,-0.146379560688535,"+","+","+",NA,NA,NA,NA,"+","+",0.178283637935606,17,-873.797250963334,1782.49450192667,53.4238541671266,2.1587209576945e-13
"1052",-2.82779543875239,"+","+",NA,-0.132486655029744,"+","+",NA,NA,NA,NA,NA,"+",NA,0.18358315445715,19,-871.724365121212,1782.56967419523,53.4990264356848,2.07908888733311e-13
"555",-2.8562132136954,NA,"+",NA,-0.0805836536913949,"+",NA,"+",NA,NA,NA,"+",NA,NA,0.172624538371647,15,-875.997276845707,1782.69836600813,53.6277182485867,1.94952130214773e-13
"2108",-2.24475821855309,"+","+",NA,-0.134731497341379,"+","+","+",NA,NA,NA,NA,NA,"+",0.186070386923494,20,-870.74723201848,1782.7352321315,53.6645843719534,1.9139148320469e-13
"3131",-2.30336342295971,NA,"+",NA,-0.158017360999688,"+","+","+",NA,NA,NA,NA,"+","+",0.18588882355045,20,-870.818653567323,1782.87807522918,53.8074274696392,1.7819873777575e-13
"2619",-2.35107162839722,NA,"+",NA,-0.0989645561954688,"+","+","+",NA,NA,NA,"+",NA,"+",0.185786669904039,20,-870.858831303144,1782.95843070082,53.8877829412804,1.7118103761905e-13
"2091",-2.7748384146263,NA,"+",NA,-0.137399054410668,"+",NA,"+",NA,NA,NA,NA,NA,"+",0.169398059112326,14,-877.245419932055,1783.10577397831,54.0351262187703,1.59023192642221e-13
"540",-2.88158445174541,"+","+",NA,-0.0780537471250928,"+","+",NA,NA,NA,NA,"+",NA,NA,0.182710361192107,19,-872.066602900064,1783.25414975293,54.1835019933878,1.47652593016413e-13
"50",-1.3088631988257,"+",NA,NA,-0.129309633431327,NA,"+","+",NA,NA,NA,NA,NA,NA,0.16376999404701,12,-879.411973953803,1783.27942236016,54.2087746006175,1.45798548824691e-13
"2172",-2.39831016422268,"+","+",NA,-0.107613050305641,"+","+","+","+",NA,NA,NA,NA,"+",0.192736757822647,23,-868.114710956168,1783.86740410818,54.79675634864,1.08661222562161e-13
"2170",-1.61893371499288,"+",NA,NA,-0.115383606933704,"+","+","+","+",NA,NA,NA,NA,"+",0.18434973475367,20,-871.423498258618,1784.08776461177,55.0171168522293,9.73248877873774e-14
"188",-2.3165727333139,"+","+",NA,-0.128820173691744,"+","+","+",NA,"+",NA,NA,NA,NA,0.187015185629303,21,-870.375340631512,1784.11754516835,55.0468974088074,9.58864292257856e-14
"41",-2.23960559971232,NA,NA,NA,-0.124457890305831,"+",NA,"+",NA,NA,NA,NA,NA,NA,0.154460416603066,9,-882.966482527798,1784.19459296257,55.1239452030316,9.22627574155404e-14
"2097",-1.2740381687789,NA,NA,NA,-0.141289797566521,NA,"+","+",NA,NA,NA,NA,NA,"+",0.159734713766191,11,-880.957139566891,1784.29911878393,55.2284710243848,8.75646742347543e-14
"1148",-2.37179312718384,"+","+",NA,-0.123133516452735,"+","+","+","+",NA,NA,NA,"+",NA,0.194785005722404,24,-867.30186259479,1784.38678611083,55.316138351285,8.38093009344083e-14
"139",-2.87006317986794,NA,"+",NA,-0.130304733527699,"+",NA,NA,NA,"+",NA,NA,NA,NA,0.164992175750859,13,-878.942630403937,1784.41742455056,55.3467767910215,8.25351919215083e-14
"1593",-1.71357063248971,NA,NA,NA,-0.0775282172201801,"+","+","+",NA,NA,NA,"+","+",NA,0.178498507462812,18,-873.713444599436,1784.43425296912,55.3636052095799,8.18436370675246e-14
"12",-2.86165463849967,"+","+",NA,-0.124629549893516,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.164946399385688,13,-878.960220875959,1784.45260549461,55.381957735066,8.10960536068489e-14
"699",-2.37950701332936,NA,"+",NA,-0.0573318258595861,"+","+","+",NA,"+",NA,"+",NA,NA,0.186569050746747,21,-870.550997495334,1784.46885889599,55.3982111364505,8.04396809363903e-14
"2618",-1.62003294654945,"+",NA,NA,-0.115788295869774,"+","+","+",NA,NA,NA,"+",NA,"+",0.183832968581131,20,-871.626346747222,1784.49346158898,55.4228138294366,7.94562258618136e-14
"1211",-2.28325852554181,NA,"+",NA,-0.160175551811129,"+","+","+",NA,"+",NA,NA,"+",NA,0.186429807333619,21,-870.605803761275,1784.57847142788,55.5078236683332,7.61497146767326e-14
"1595",-2.3445955251269,NA,"+",NA,-0.0804580943747706,"+","+","+",NA,NA,NA,"+","+",NA,0.18610354862514,21,-870.73418562761,1784.83523516054,55.7645874010025,6.69750033963328e-14
"2603",-2.80383046024423,NA,"+",NA,-0.111349657216278,"+",NA,"+",NA,NA,NA,"+",NA,"+",0.175234499225872,17,-874.984353917023,1784.86870783405,55.7980600745041,6.58634150903772e-14
"3130",-1.5426346116349,"+",NA,NA,-0.157213816354468,"+","+","+",NA,NA,NA,NA,"+","+",0.183327623831697,20,-871.824597978615,1784.88996405176,55.8193162922225,6.51671182584896e-14
"1116",-2.86045330334918,"+","+",NA,-0.125131212585326,"+","+",NA,"+",NA,NA,NA,"+",NA,0.188691750580301,22,-869.714434510738,1784.92812828074,55.8574805211938,6.39353812955606e-14
"1179",-2.71633440391997,NA,"+",NA,-0.164205666410467,"+","+",NA,NA,"+",NA,NA,"+",NA,0.180431815828135,19,-872.958482591775,1785.03790913635,55.9672613768098,6.05205198277159e-14
"2235",-2.27884903740478,NA,"+",NA,-0.129657110414783,"+","+","+",NA,"+",NA,NA,NA,"+",0.183135940338372,20,-871.899767664304,1785.04030342314,55.9696556636,6.04481114373985e-14
"171",-2.81029348951709,NA,"+",NA,-0.131035235641908,"+",NA,"+",NA,"+",NA,NA,NA,NA,0.169544410215184,15,-877.188901474464,1785.08161526564,56.0109675061005,5.921230728389e-14
"1146",-1.57774829381281,"+",NA,NA,-0.123559116776645,"+","+","+","+",NA,NA,NA,"+",NA,0.185635694468823,21,-870.918202518063,1785.20326894145,56.1326211819089,5.57179621772406e-14
"44",-2.80090913301501,"+","+",NA,-0.122507300759205,"+",NA,"+",NA,NA,NA,NA,NA,NA,0.169385312856172,15,-877.250341899265,1785.20449611525,56.133848355704,5.56837848521425e-14
"3132",-2.31775539992024,"+","+",NA,-0.168529205885916,"+","+","+",NA,NA,NA,NA,"+","+",0.190877542653751,23,-868.850905976833,1785.33979414951,56.2691463899691,5.20414216488403e-14
"636",-2.38093936207672,"+","+",NA,-0.0779681499088098,"+","+","+","+",NA,NA,"+",NA,NA,0.193569921106686,24,-867.784298013431,1785.35165694811,56.2810091885674,5.17336568372423e-14
"2620",-2.39374997055316,"+","+",NA,-0.095082036587635,"+","+","+",NA,NA,NA,"+",NA,"+",0.190772141131718,23,-868.892595428767,1785.42317305338,56.352525293838,4.9916445606003e-14
"667",-2.83357647332261,NA,"+",NA,-0.0618649832798794,"+","+",NA,NA,"+",NA,"+",NA,NA,0.179925024018584,19,-873.15654412458,1785.43403220196,56.3633844424212,4.96461550016901e-14
"25",-2.15252602022351,NA,NA,NA,-0.12903412909868,"+","+",NA,NA,NA,NA,NA,NA,NA,0.155524724635405,10,-882.561944937924,1785.4441227725,56.3734750129579,4.93963067949564e-14
"634",-1.64494197195921,"+",NA,NA,-0.0796828115175648,"+","+","+","+",NA,NA,"+",NA,NA,0.185272644225263,21,-871.060930994412,1785.48872589415,56.4180781346079,4.83068851089248e-14
"2098",-1.29300468353242,"+",NA,NA,-0.142149730399596,NA,"+","+",NA,NA,NA,NA,NA,"+",0.166216083898344,14,-878.471990488155,1785.55891509051,56.4882673309692,4.66409775433932e-14
"156",-2.8488208941251,"+","+",NA,-0.125866141385665,"+","+",NA,NA,"+",NA,NA,NA,NA,0.179741679963919,19,-873.2281699411,1785.577283835,56.5066360754608,4.62145705812362e-14
"1563",-2.79187500957824,NA,"+",NA,-0.0883283445771404,"+","+",NA,NA,NA,NA,"+","+",NA,0.179687520878586,19,-873.249325102739,1785.61959415828,56.5489463987387,4.52471627839512e-14
"252",-2.40539972970844,"+","+",NA,-0.102478795660958,"+","+","+","+","+",NA,NA,NA,NA,0.193223528198569,24,-867.921707279401,1785.62647548005,56.5558277205071,4.50917501552337e-14
"51",-1.11249476409963,NA,"+",NA,-0.128612605452157,NA,"+","+",NA,NA,NA,NA,NA,NA,0.160483532460259,12,-880.670922824855,1785.79732010226,56.7266723427222,4.1399839138543e-14
"1073",-1.28104507403695,NA,NA,NA,-0.13502390941944,NA,"+","+",NA,NA,NA,NA,"+",NA,0.160363354311233,12,-880.716873656051,1785.88922176466,56.8185740051142,3.95405277179153e-14
"114",-1.36190025132385,"+",NA,NA,-0.10852209926039,NA,"+","+","+",NA,NA,NA,NA,NA,0.168302696179798,15,-877.668141234145,1786.04009478501,56.9694470254628,3.66674578240453e-14
"76",-2.88505714458253,"+","+",NA,-0.101244211075802,"+",NA,NA,"+",NA,NA,NA,NA,NA,0.17100633649692,16,-876.623825967561,1786.0464771921,56.9758294325545,3.65506310108354e-14
"108",-2.84204701628349,"+","+",NA,-0.0980753149978669,"+",NA,"+","+",NA,NA,NA,NA,NA,0.175904784165252,18,-874.723741920395,1786.45484761104,57.3841998514981,2.9800144452332e-14
"2089",-2.19202834356062,NA,NA,NA,-0.140687282985955,"+",NA,"+",NA,NA,NA,NA,NA,"+",0.156830440913092,11,-882.065008039777,1786.5148557297,57.4442079701566,2.89192996896683e-14
"604",-2.9110380816048,"+","+",NA,-0.077968153007606,"+","+",NA,"+",NA,NA,"+",NA,NA,0.186476289068919,22,-870.587509487693,1786.67427823464,57.6036304751024,2.67035877514153e-14
"220",-2.93491299475288,"+","+",NA,-0.0971112108337453,"+","+",NA,"+","+",NA,NA,NA,NA,0.186447136301929,22,-870.598983540948,1786.69722634116,57.626578581614,2.63989404752953e-14
"1594",-1.60719272927823,"+",NA,NA,-0.0859235318080321,"+","+","+",NA,NA,NA,"+","+",NA,0.183647304454644,21,-871.699197520082,1786.76525894549,57.6946111859481,2.55160476457801e-14
"553",-2.27150183814801,NA,NA,NA,-0.0823293349474589,"+",NA,"+",NA,NA,NA,"+",NA,NA,0.15916208572334,12,-881.17585367924,1786.80718181103,57.7365340514918,2.49867614071508e-14
"700",-2.42054163978765,"+","+",NA,-0.0411908190955663,"+","+","+",NA,"+",NA,"+",NA,NA,0.191693140733892,24,-868.528144091139,1786.83934910353,57.7687013439834,2.45880977523926e-14
"524",-2.8839311193287,"+","+",NA,-0.0808174300811347,"+",NA,NA,NA,NA,NA,"+",NA,NA,0.169962452667981,16,-877.027409728016,1786.85364471301,57.7829969534648,2.4412973453467e-14
"1074",-1.2892881814237,"+",NA,NA,-0.139463053992475,NA,"+","+",NA,NA,NA,NA,"+",NA,0.167040905385319,15,-878.154456428172,1787.01272517306,57.9420774135172,2.25463786240517e-14
"1212",-2.26956464754894,"+","+",NA,-0.171248386605801,"+","+","+",NA,"+",NA,NA,"+",NA,0.191466944203635,24,-868.617688218834,1787.01843735892,57.947789599373,2.24820759424418e-14
"651",-2.8586753653639,NA,"+",NA,-0.108033217930459,"+",NA,NA,NA,"+",NA,"+",NA,NA,0.169737792225152,16,-877.114206391809,1787.02723804059,57.9565902810507,2.23833644868338e-14
"1596",-2.35094633873425,"+","+",NA,-0.0883790249408168,"+","+","+",NA,NA,NA,"+","+",NA,0.191082101475652,24,-868.769982635584,1787.32302619242,58.2523784328748,1.93061548690775e-14
"52",-1.15327614520723,"+","+",NA,-0.129544054968479,NA,"+","+",NA,NA,NA,NA,NA,NA,0.166545211855229,15,-878.345319726503,1787.39445176972,58.3238040101799,1.86288445462052e-14
"17",-1.76475168226041,NA,NA,NA,-0.128505831164137,NA,"+",NA,NA,NA,NA,NA,NA,NA,0.144601884351942,7,-886.691534558158,1787.54538795689,58.4747401973527,1.727470111593e-14
"9",-2.21587614713118,NA,NA,NA,-0.127067938133158,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.144546792111773,7,-886.712239879307,1787.58679859919,58.5161508396513,1.69207003779405e-14
"683",-2.81984684881969,NA,"+",NA,-0.10963741292083,"+",NA,"+",NA,"+",NA,"+",NA,NA,0.174389982264889,18,-875.312431857915,1787.63222748608,58.5615797265391,1.65406883061975e-14
"1180",-2.74709003798058,"+","+",NA,-0.174554429756101,"+","+",NA,NA,"+",NA,NA,"+",NA,0.185237577049048,22,-871.074714107347,1787.64868747395,58.5780397144117,1.64051171817181e-14
"556",-2.83800570876651,"+","+",NA,-0.0802319499723641,"+",NA,"+",NA,NA,NA,"+",NA,NA,0.174255489871422,18,-875.364651004773,1787.7366657798,58.6660180202543,1.56991120984349e-14
"3196",-2.39090524373995,"+","+",NA,-0.171614915521049,"+","+","+","+",NA,NA,NA,"+","+",0.195953325682092,26,-866.837364816085,1787.76712903604,58.6964812765023,1.54618009665771e-14
"42",-2.23513575547943,"+",NA,NA,-0.123855033022841,"+",NA,"+",NA,NA,NA,NA,NA,NA,0.15779530490406,12,-881.697339476537,1787.85015340563,58.7795056460857,1.48330877412821e-14
"2236",-2.28604259506529,"+","+",NA,-0.129387462934008,"+","+","+",NA,"+",NA,NA,NA,"+",0.187635829676662,23,-870.130827063688,1787.89963632322,58.8289885636786,1.44705982623573e-14
"3641",-1.66548454143281,NA,NA,NA,-0.13405444571229,"+","+","+",NA,NA,NA,"+","+","+",0.179476696324425,20,-873.331663388885,1787.9040948723,58.8334471127619,1.44383752563575e-14
"668",-2.93403144492463,"+","+",NA,-0.0401819554146666,"+","+",NA,NA,"+",NA,"+",NA,NA,0.184778056706229,22,-871.255277761051,1788.00981478136,58.9391670218192,1.36949842920865e-14
"26",-2.04253961059524,"+",NA,NA,-0.129486790197221,"+","+",NA,NA,NA,NA,NA,NA,NA,0.160297225667073,13,-880.742155756851,1788.01647525639,58.9458274968501,1.36494525993797e-14
"2092",-2.74610783886136,"+","+",NA,-0.137466205470971,"+",NA,"+",NA,NA,NA,NA,NA,"+",0.171116459777872,17,-876.581223152655,1788.06244630531,58.9917985457678,1.33392910414747e-14
"1564",-2.85369684098661,"+","+",NA,-0.0959983532385031,"+","+",NA,NA,NA,NA,"+","+",NA,0.184476581313447,22,-871.373688595833,1788.24663645093,59.1759886913833,1.21656793699303e-14
"537",-2.18956524485947,NA,NA,NA,-0.082672603294037,"+","+",NA,NA,NA,NA,"+",NA,NA,0.159885021463478,13,-880.899707130546,1788.33157800378,59.2609302442406,1.16598118510906e-14
"3643",-2.32731258403494,NA,"+",NA,-0.133540946177939,"+","+","+",NA,NA,NA,"+","+","+",0.187057653276663,23,-870.358615218528,1788.3552126329,59.2845648733601,1.15228351292941e-14
"2601",-2.19281207944296,NA,NA,NA,-0.139825829852485,"+",NA,"+",NA,NA,NA,"+",NA,"+",0.162433194286377,14,-879.924611535672,1788.46415718555,59.3935094260039,1.09119492870268e-14
"3259",-2.28353695333893,NA,"+",NA,-0.19245351021407,"+","+","+",NA,"+",NA,NA,"+","+",0.186901129247874,23,-870.420256508457,1788.47849521276,59.4078474532171,1.08340011137149e-14
"2099",-1.11659330167048,NA,"+",NA,-0.139168863908562,NA,"+","+",NA,NA,NA,NA,NA,"+",0.162393300820527,14,-879.939898364972,1788.49473084415,59.4240830846045,1.07464087000037e-14
"1049",-2.14486807623708,NA,NA,NA,-0.129741867235484,"+","+",NA,NA,NA,NA,NA,"+",NA,0.159662956348414,13,-880.984554679167,1788.50127310102,59.4306253414816,1.0711313249051e-14
"3121",-1.26650400864242,NA,NA,NA,-0.15409337707766,NA,"+","+",NA,NA,NA,NA,"+","+",0.162331751832619,14,-879.963482088683,1788.54189829157,59.4712505320256,1.0495933544029e-14
"18",-1.75026414594929,"+",NA,NA,-0.128959979194863,NA,"+",NA,NA,NA,NA,NA,NA,NA,0.151410874269061,10,-884.123006781842,1788.56624646034,59.4955987007943,1.03689298090452e-14
"2219",-2.78372848743661,NA,"+",NA,-0.133194459944167,"+",NA,"+",NA,"+",NA,NA,NA,"+",0.170355518099458,17,-876.875498528049,1788.6509970561,59.5803492965561,9.93872276916212e-15
"2747",-2.39646760293307,NA,"+",NA,-0.062275948834303,"+","+","+",NA,"+",NA,"+",NA,"+",0.186668376373458,23,-870.5118976269,1788.66177744965,59.591129690104,9.88529521961475e-15
"2684",-2.46486797525014,"+","+",NA,-0.0909573977597165,"+","+","+","+",NA,NA,"+",NA,"+",0.194724737080421,26,-867.325807293388,1788.74401399065,59.6733662311085,9.48707220277099e-15
"3194",-1.54959491241006,"+",NA,NA,-0.155074869473346,"+","+","+","+",NA,NA,NA,"+","+",0.186404947654567,23,-870.615587636007,1788.86915746786,59.7985097083174,8.91164022357261e-15
"2682",-1.64323339198427,"+",NA,NA,-0.114187907695015,"+","+","+","+",NA,NA,"+",NA,"+",0.186395763603139,23,-870.619202078645,1788.87638635313,59.8057385935927,8.87948775281179e-15
"2162",-1.35490155691729,"+",NA,NA,-0.124078041064663,NA,"+","+","+",NA,NA,NA,NA,"+",0.16978022456389,17,-877.097814480837,1789.09562896167,60.024981202132,7.95756115682328e-15
"2156",-2.81354116984681,"+","+",NA,-0.114314427138864,"+",NA,"+","+",NA,NA,NA,NA,"+",0.177899407502745,20,-873.947063642412,1789.13489537936,60.0642476198173,7.80285238111425e-15
"140",-2.83115100696802,"+","+",NA,-0.133428300615893,"+",NA,NA,NA,"+",NA,NA,NA,NA,0.166546640563326,16,-878.344769762489,1789.48836478195,60.4177170224118,6.53880649330327e-15
"10",-2.21574623873563,"+",NA,NA,-0.12642413225117,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.150075985185407,10,-884.628053547125,1789.5763399909,60.5056922313606,6.25741431437556e-15
"2604",-2.78111199695262,"+","+",NA,-0.110473776509213,"+",NA,"+",NA,NA,NA,"+",NA,"+",0.177177944040894,20,-874.228190937024,1789.69714996858,60.6265022090402,5.89062475279373e-15
"116",-1.19239546524408,"+","+",NA,-0.106230178466641,NA,"+","+","+",NA,NA,NA,NA,NA,0.171708572638059,18,-876.352066363857,1789.71149649796,60.6408487384224,5.84852093370536e-15
"2300",-2.42816888238665,"+","+",NA,-0.104855908870863,"+","+","+","+","+",NA,NA,NA,"+",0.19350134262966,26,-867.811506440353,1789.71541228458,60.6447645250396,5.8370813560946e-15
"3122",-1.27347773753923,"+",NA,NA,-0.159605008025798,NA,"+","+",NA,NA,NA,NA,"+","+",0.168940928703124,17,-877.421897471632,1789.74379494326,60.673147183722,5.75483041765487e-15
"1075",-1.11242150347854,NA,"+",NA,-0.134864029396596,NA,"+","+",NA,NA,NA,NA,"+",NA,0.163395813645363,15,-879.555541008308,1789.81489433333,60.7442465737888,5.55384166251208e-15
