"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDistxOrderClass","logDistxRegion","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"32",-1.06293358854542,"+","+","+",-0.260284879194442,"+",NA,"+",NA,NA,NA,NA,NA,NA,0.332645864512555,16,-348.416421835644,730.991573830019,14.5443727718624,9.44098226554114e-05
"761",-0.627269858419416,"+","+",NA,-0.257959566181385,NA,"+",NA,NA,"+",NA,NA,NA,NA,0.326167862141303,15,-349.618721991157,731.134677183894,14.687476125738,8.78906514234926e-05
"596",-0.772564593825325,"+","+",NA,-0.265176324352457,NA,NA,"+",NA,"+",NA,NA,NA,"+",0.332022975758537,16,-348.532496492865,731.22372314446,14.7765220863031,8.40633317415944e-05
"9271",-0.425881459996953,NA,"+","+",-0.0679372139923165,NA,"+","+",NA,NA,"+",NA,"+","+",0.362151948584316,21,-342.799970629547,731.340831947354,14.8936308891975,7.92823921199787e-05
"795",-0.521249201203516,NA,"+",NA,-0.370458844218714,"+",NA,"+",NA,NA,NA,"+",NA,"+",0.337769051819206,17,-347.457901883277,731.354050778505,14.906849720349,7.87601097345836e-05
"398",-1.35558354949973,"+",NA,"+",-0.274600994099322,"+",NA,NA,NA,NA,"+","+",NA,NA,0.331586669956737,16,-348.613741998494,731.386214155718,14.9390130975611,7.75036442970904e-05
"413",-0.79114829340945,NA,NA,"+",-0.262439591604974,"+",NA,"+",NA,NA,"+","+",NA,NA,0.331491166725316,16,-348.631519329563,731.421768817855,14.9745677596987,7.613801097651e-05
"6361",-0.111021711281396,"+","+",NA,-0.256487833931947,NA,"+","+","+","+",NA,NA,NA,"+",0.361898857624679,21,-342.849157231717,731.439205151694,14.9920040935372,7.54771121869437e-05
"797",-0.669944783550062,NA,NA,"+",-0.356033879912209,"+",NA,"+",NA,NA,NA,"+",NA,"+",0.33142966612735,16,-348.642966038791,731.444662236312,14.997461178156,7.52714503989904e-05
"116",-0.791787160741817,"+","+",NA,-0.246423489399168,NA,NA,"+","+","+",NA,NA,NA,NA,0.331421903112638,16,-348.644410849356,731.447551857443,15.0003507992864,7.5162775938105e-05
"100",-0.852740540131258,"+","+",NA,-0.252806860420348,NA,NA,NA,"+","+",NA,NA,NA,NA,0.319102252983465,14,-350.917941463157,731.489426233401,15.0422251752445,7.36054387894415e-05
"144",-1.27371844898734,"+","+","+",-0.214882510483578,"+",NA,NA,NA,NA,"+",NA,NA,NA,0.331229133369167,16,-348.680283140862,731.519296440454,15.0720953822978,7.25143023409968e-05
"663",-0.579282062410045,NA,"+","+",-0.247306567839936,NA,NA,"+",NA,NA,"+",NA,NA,"+",0.325053709638745,15,-349.824426898144,731.546086997869,15.0988859397129,7.15494298463409e-05
"3841",-0.166760770914982,"+","+","+",-0.146386220145295,NA,"+","+","+","+",NA,NA,"+",NA,0.379827447727558,24,-339.3195784153,731.557189617486,15.1099885593292,7.11533372282854e-05
"6711",-0.186618546371248,NA,"+","+",-0.234693133583136,NA,"+","+",NA,NA,"+",NA,NA,"+",0.343267714671811,18,-346.421475030059,731.578950060119,15.1317490019624,7.03833694772627e-05
"79",-0.825399975264955,NA,"+","+",-0.254685108498985,"+",NA,NA,NA,"+",NA,NA,NA,NA,0.324840697106664,15,-349.863719398376,731.624671998333,15.1774709401762,6.87925901020841e-05
"159",-0.747218379053351,NA,"+","+",-0.218037554589749,"+",NA,"+",NA,NA,"+",NA,NA,NA,0.330908714750725,16,-348.739888299163,731.638506757056,15.1913056988991,6.83183677380553e-05
"9261",-0.513051028705866,"+",NA,"+",-0.0618906082168386,NA,"+","+",NA,NA,"+",NA,"+","+",0.355203163973616,20,-344.143932199685,731.674961173563,15.2277601154062,6.70843947267754e-05
